station_id,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys,last_reported
201edb67-d071-4b67-bafd-131e5c273e9f,Metropolitan Ave & Stewart Ave,5273.01,40.71401,-73.92793,71,"KEY, CREDITCARD",20,false,19,1,0,1,true,true,true,false,2024-03-07 00:06:34.000000 UTC
66ddbdb1-0aca-11e7-82f6-3863bb44ef7c,Pier 40 - Hudson River Park,5696.03,40.7277140777778,-74.011295735836029,71,"KEY, CREDITCARD",23,false,19,4,0,0,true,true,true,false,2024-03-07 00:07:09.000000 UTC
1822663031356509142,Matthews Ct & Coney Island Ave,3034.02,40.64235,-73.96951,0,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:06:54.000000 UTC
93da4d1b-d574-45b0-85d7-5b82e2887267,65 St & 2 Ave,3019.02,40.640493,-74.02564,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:05:41.000000 UTC
528ed1e0-75aa-45be-8afe-c3f1c950782f,Grand Ave & 58 Ave,5471.04,40.72098,-73.90701,71,"KEY, CREDITCARD",20,false,20,0,0,0,true,true,true,false,2024-03-07 00:06:00.000000 UTC
1794852638057746848,63 St & Borden Ave,5611.05,40.72655,-73.90321,0,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:07:05.000000 UTC
765ee572-6c7a-4ed3-a2d4-f1496ea53996,Webster Ave & Ford St,8472.08,40.85556,-73.89615,71,"KEY, CREDITCARD",23,false,20,2,0,0,true,true,true,false,2024-03-07 00:07:28.000000 UTC
1851254468343716806,60 Ave & Otis Ave,5945.01,40.73715,-73.85614,0,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:06:15.000000 UTC
66dcca0d-0aca-11e7-82f6-3863bb44ef7c,Myrtle Ave & Marcy Ave,4707.03,40.69539817,-73.94954908,71,"KEY, CREDITCARD",23,false,20,3,0,0,true,true,true,false,2024-03-07 00:07:04.000000 UTC
62e2b1dd-ca52-4e1c-a112-1d8846b9d9b5,Greenwood Ave & E 4 St,3353.04,40.650739,-73.977739,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:06:41.000000 UTC
40eaa69a-d3ab-48fc-b395-b5bdc6a1aa85,5 St & 51 Ave,6137.04,40.7423737,-73.9566,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:05:28.000000 UTC
23bc4d9b-1ec2-45fb-9228-e41517346b24,Academy St & Nagle Ave,8579.05,40.862562,-73.922661,71,"KEY, CREDITCARD",20,false,20,0,0,0,true,true,true,false,2024-03-07 00:06:23.000000 UTC
bf093f72-1d8d-44ae-91b5-e36958a27976,Page Pl & Grand Ave,5409.02,40.71798,-73.91818,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:06:43.000000 UTC
b9b58379-b29a-4fa8-ba72-c647728e1686,57 Rd & 58 St,5510.05,40.72235,-73.91215,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:07:28.000000 UTC
06e5447e-35b8-45cb-b3bb-937791a6f8ae,59 St & 59 Rd,5401.03,40.717908527340583,-73.908454477787,71,"KEY, CREDITCARD",21,false,20,1,0,0,true,true,true,false,2024-03-07 00:07:13.000000 UTC
1848241879913802606,56 Ave & Junction Blvd,5995.07,40.73716,-73.86625,0,"KEY, CREDITCARD",22,false,20,2,0,0,true,true,true,false,2024-03-07 00:05:46.000000 UTC
5f798c51-5d8b-4add-9f81-341f54a82ffa,Southwest Park - Jackson St & Observer Hwy,HB401,40.737551272458042,-74.041663706302643,311,"KEY, CREDITCARD",20,false,20,0,0,0,true,true,true,false,2024-03-07 00:06:59.000000 UTC
525535e3-dde3-47b4-9c2e-0174eaa4f2bb,61 St & Borden Ave,5611.04,40.72558,-73.90417,0,"KEY, CREDITCARD",21,false,21,0,0,0,true,true,true,false,2024-03-07 00:06:12.000000 UTC
fd0e86e3-079d-40aa-8231-ec2cbdbd9e7f,34 St & 4 Ave,3492.04,40.655278,-74.003101,71,"KEY, CREDITCARD",23,false,21,1,0,0,true,true,true,false,2024-03-07 00:07:17.000000 UTC
1849009244468810224,St James Ave & 51 Ave,6014.01,40.73813,-73.88104,0,"KEY, CREDITCARD",21,false,21,0,0,0,true,true,true,false,2024-03-07 00:06:55.000000 UTC
8d2eff37-be09-4b46-a95d-abff89e16d56,3 Ave & 17 St,3779.02,40.666168,-73.995549,71,"KEY, CREDITCARD",21,false,21,0,0,0,true,true,true,false,2024-03-07 00:06:15.000000 UTC
66de4594-0aca-11e7-82f6-3863bb44ef7c,E 106 St & 1 Ave,7456.03,40.7892529,-73.93956237,71,"KEY, CREDITCARD",26,false,21,2,0,0,true,true,true,false,2024-03-07 00:06:30.000000 UTC
1838999521825487230,Winthrop St & Schenectady Ave,3526.04,40.6582,-73.9338,0,"KEY, CREDITCARD",21,false,21,0,0,0,true,true,true,false,2024-03-07 00:05:37.000000 UTC
